projectcode,naam,contour,bedrijf.id,id,created,modified,bedrijf
"20240357","Rotterdamseweg 266 Delft","GEOMETRYCOLLECTION(POLYGON((84959.2376558183 445924.0700431264,85017.17127839089 445944.3251612444,85041.39016893043 445873.77585739794,84984.71535965208 445857.0965800524,84959.2376558183 445924.0700431264)))","14679013","841704905","2024-11-08T17:19:52.000Z","2024-11-08T17:21:50.000Z","14679013"
"24.22.1.022","Langeweg 42, Belfeld","GEOMETRYCOLLECTION()","28641","841668944","2024-11-08T12:31:59.000Z","2024-11-08T12:34:23.000Z","28641"
"24.25.1.065","Depot Theemsweg","GEOMETRYCOLLECTION(POLYGON((76396.43737858422 433550.72695583594,76392.97237858422 433552.6169558359,76384.78237858422 433537.8119558359,76387.82737858422 433535.92195583595,76396.43737858422 433550.72695583594)))","28641","841655940","2024-11-08T10:39:34.000Z","2024-11-08T12:49:09.000Z","28641"
"20240405","Kulertseweg 14a (L8091) Deurne ","GEOMETRYCOLLECTION(POLYGON((184808.57419636688 385766.58885322843,184808.57419636688 385766.58885322843,184976.85817470448 385766.58885322843,185001.05583254338 385631.3958008666,184834.23841452374 385579.7366774342,184839.0046376559 385643.8526177108,184780.34356758304 385644.58534615685,184808.57419636688 385766.58885322843)))","14679013","839668708","2024-11-06T17:39:38.000Z","2024-11-06T17:47:47.000Z","14679013"
"24.3.1.68","Boussinesqweg, Delft ","GEOMETRYCOLLECTION()","28641","838601699","2024-11-05T12:38:48.000Z","2024-11-05T12:47:36.000Z","28641"
"24KL292","Rembrandtstraat 100 te Oud-Beijerland ","GEOMETRYCOLLECTION()","3820026","833642161","2024-11-01T12:59:36.000Z","2024-11-08T21:04:22.000Z","3820026"
"20240432","Portengen 1483 Kockengen","GEOMETRYCOLLECTION()","14679013","832712524","2024-10-31T16:55:25.000Z","2024-11-08T15:48:49.000Z","14679013"
"24.17.1.035","Zandstraat 9 Gemert","GEOMETRYCOLLECTION(POLYGON((176566.98740454015 394969.061272139,176547.01135629407 395011.2623277053,176579.68740872308 395025.4175407008,176603.76449998657 394980.30606750934,176575.58636570568 394968.5321052981,176566.98740454015 394969.061272139)))","28641","831598412","2024-10-30T12:04:40.000Z","2024-11-04T15:15:34.000Z","28641"
"24KL351","Veilingweg 1 te Bovenkarspel","GEOMETRYCOLLECTION()","3820026","829642039","2024-10-28T13:07:56.000Z","2024-11-07T09:00:59.000Z","3820026"
"24.25.1.058","Asbest depots Vis","GEOMETRYCOLLECTION(POLYGON((75859.72460901954 430441.83867759514,75862.87460901955 430459.16367759515,75836.93960901955 430464.09867759515,75835.67960901954 430456.22367759515,75845.33960901955 430451.91867759515,75843.97460901954 430444.67367759516,75859.72460901954 430441.83867759514)),POLYGON((75842.71460901955 430445.30367759505,75844.18460901955 430451.28867759503,75826.75460901954 430455.278677595,75825.49460901954 430448.24367759505,75842.71460901955 430445.30367759505)))","28641","829636714","2024-10-28T12:28:47.000Z","2024-11-04T11:22:28.000Z","28641"
"20240001.44PA","Steenstraat 9 Dongen","GEOMETRYCOLLECTION()","14679013","829574354","2024-10-28T05:21:04.000Z","2024-11-01T07:50:12.000Z","14679013"
"7714.3-brovalide","IJburg","GEOMETRYCOLLECTION()","1","825958692","2024-10-24T20:05:45.000Z","2024-10-28T16:51:45.000Z","1"
"24.3.1.067","Oude Tonge","GEOMETRYCOLLECTION(POLYGON((73921.75745579747 412813.9069309017,74326.20962351326 412764.4654282721,74337.5032483411 412937.5107036418,74213.27363372491 413018.73606865096,74154.68802359191 412937.5107036418,74197.03903591816 412936.09811052785,74179.3928238639 412782.12310085434,73921.75745579747 412813.9069309017)))","28641","825913256","2024-10-24T12:51:59.000Z","2024-11-04T09:13:14.000Z","28641"
"24KL353","Belterweg 12A te Belt-Schutsloot","GEOMETRYCOLLECTION()","3820026","825904525","2024-10-24T12:19:50.000Z","2024-10-31T21:02:55.000Z","3820026"
"EN06519-009","AP-04 In-situ  B.Haitzemastraat Winschoten","GEOMETRYCOLLECTION(POLYGON((266731.948054251 573528.8341722593,266820.8480835316 573537.3008417146,266829.0501695664 573454.486231105,266811.85224723537 573453.1633140026,266813.4397477582 573439.4049761378,266742.00222422916 573433.3195574668,266731.948054251 573528.8341722593)))","977404","825863993","2024-10-24T09:47:07.000Z","2024-10-30T21:01:12.000Z","977404"
"20240412","Heulenslag 74 Bleskensgraaf ","GEOMETRYCOLLECTION EMPTY","14679013","825841177","2024-10-24T07:15:44.000Z","2024-10-24T07:17:09.000Z","14679013"
"EN06587-002_oud","Peilbuizen Koehool","POLYGON((164191.7473472991 585510.3143841943,164202.01386692873 585498.5268986936,164500.01108784473 585782.3150473792,164707.16446554 586006.973899147,164702.2684433223 586010.7989165046,164495.08873892375 585787.2236610857,164191.7473472991 585510.3143841943))","977404","824923379","2024-10-23T13:14:37.000Z","2024-11-08T13:01:26.000Z","977404"
"24KL346","Smidshornerweg 18 te Niekerk","GEOMETRYCOLLECTION EMPTY","3820026","824915576","2024-10-23T12:42:18.000Z","2024-11-05T21:02:04.000Z","3820026"
"220194-B02","Indicatieve depotbemonstering  Schipholweg 66 te Leiden","GEOMETRYCOLLECTION(POLYGON((93406.087 465003.272,93410.11883888565 465000.96698723524,93411.999 465002.485,93413.5 465004.389,93414.224 465006.731,93414.51 465008.814,93413.856 465010.011,93410.93064307746 465011.25407982926,93407.641 465006.594,93406.087 465003.272)))","3146","824914944","2024-10-23T12:36:15.000Z","2024-11-05T20:00:30.000Z","3146"
"0495770-104-22-10-24","Bomen wijk 62 Krommenie West","GEOMETRYCOLLECTION EMPTY","3158","823965956","2024-10-22T13:00:51.000Z","2024-11-04T08:22:55.000Z","3158"
