code,datum,hoogtemaaiveld,xcoord,ycoord,onderzoek,type,situ,id,created,boormeester,modified,grondwaterstand,broId,geoLatitude,geoLongitude
"BRRIJT001_G","2024-11-07T23:00:00.000Z","31.344","151627.818","369060.342","326998936","2382","2672","841665064","2024-11-08T11:46:26.000Z","","","","","",""
"WOU006_G","2024-05-09T22:00:00.000Z","11.825","84544.639","388279.977","838634349","2382","2562","838634556","2024-11-05T15:39:47.000Z","","","","","",""
"WOU005_G","2024-05-09T22:00:00.000Z","11.531","84566.041","387362.721","838634349","2382","2592","838634533","2024-11-05T15:39:47.000Z","","","","","",""
"WOU002_G","2024-05-09T22:00:00.000Z","14.413","83947.845","386900.593","838634349","2382","2562","838634505","2024-11-05T15:39:46.000Z","","","","","",""
"WOU004_1_G","2024-05-05T22:00:00.000Z","10.096","84512.141","387236.236","838634349","2382","2592","838634483","2024-11-05T15:39:46.000Z","","","","","",""
"WOU007_1_G","2024-05-05T22:00:00.000Z","13.048","83996.971","385922.883","838634349","2382","2562","838634451","2024-11-05T15:39:46.000Z","","","","","",""
"WOU004_2_G","2024-05-05T22:00:00.000Z","10.096","84512.66","387236.131","838634349","2382","2592","838634423","2024-11-05T15:39:46.000Z","rob","","","","",""
"WOU003_G","2024-05-05T22:00:00.000Z","16.004","83762.861","386776.069","838634349","2382","2562","838634385","2024-11-05T15:39:46.000Z","rob","","","","",""
"WOU007_2_G","2024-05-05T22:00:00.000Z","13.048","83996.119","385922.737","838634349","2382","2592","838634351","2024-11-05T15:39:46.000Z","rob","","","","",""
"HGL02_B1","2024-11-04T23:00:00.000Z","25.965","146647.632","379100.609","836383286","2377","2592","838581944","2024-11-05T10:25:26.000Z","Sander","2024-11-05T12:54:55.000Z","","","",""
"HGL02_G","2024-11-04T23:00:00.000Z","26.038","146646.604","379087.392","836383286","2382","2582","838581930","2024-11-05T10:25:26.000Z","Sander","2024-11-05T12:16:59.000Z","","","",""
"HGL04_G","2024-11-03T23:00:00.000Z","26.734","146405.266","378904.172","836383286","2382","2592","836404371","2024-11-04T12:49:44.000Z","Sander","2024-11-05T09:46:41.000Z","","","",""
"HGL03_B2","2024-11-03T23:00:00.000Z","25.413","146639.894","379076.186","836383286","2377","2592","836404361","2024-11-04T12:49:44.000Z","Sander","2024-11-05T12:58:29.000Z","","","",""
"HGL03_G","2024-11-03T23:00:00.000Z","25.455","146653.2","379076.894","836383286","2382","2592","836397709","2024-11-04T11:40:27.000Z","Sander","2024-11-05T09:53:10.000Z","","","",""
"HGL03_B1","2024-11-03T23:00:00.000Z","25.584","146667.365","379081.866","836383286","2377","2592","836397688","2024-11-04T11:40:27.000Z","Sander","2024-11-05T12:58:04.000Z","","","",""
"HGL01_B2","2024-11-03T23:00:00.000Z","25.773","146604.18","379125.682","836383286","2377","2582","836383322","2024-11-04T10:15:11.000Z","Sander","2024-11-05T12:36:17.000Z","","","",""
"HGL01_G","2024-11-03T23:00:00.000Z","25.82","146612.815","379140.975","836383286","2382","2582","836383304","2024-11-04T10:15:11.000Z","Sander","2024-11-05T12:25:04.000Z","","","",""
"HGL01_B1","2024-11-03T23:00:00.000Z","25.793","146631.219","379145.183","836383286","2377","2582","836383288","2024-11-04T10:15:11.000Z","Sander","2024-11-05T12:35:41.000Z","","","",""
"KORV01_G","2024-10-23T22:00:00.000Z","11.229","169139.481","399849.457","825879691","2382","2592","825879728","2024-10-24T11:11:27.000Z","Sander","2024-10-30T07:55:56.000Z","","","",""
"KORV02_G","2024-10-23T22:00:00.000Z","11.286","169004.21","399800.424","825879691","2382","2592","825879714","2024-10-24T11:11:27.000Z","Sander","2024-10-30T08:19:07.000Z","","","",""
"KORV03_G","2024-10-23T22:00:00.000Z","11.121","169129.261","399650.199","825879691","2382","2592","825879693","2024-10-24T11:11:27.000Z","Sander","2024-10-30T08:27:50.000Z","","","",""
"RIVE001_O","2024-10-20T22:00:00.000Z","22.275","161134.29","374916.04","804672278","17665869","2687","823935654","2024-10-22T08:59:13.000Z","","","","","",""
"BOSVE02_O","2024-10-16T10:00:00.000Z","43.089","176552.208","319490.923","818072178","17665869","819197445","818073438","2024-10-16T18:07:25.000Z","","2024-10-17T06:33:27.000Z","","","",""
"BOSVE01_O","2024-10-16T10:00:00.000Z","42.195","176568.459","319485.43","818072178","17665869","819197445","818072379","2024-10-16T17:58:16.000Z","","2024-10-17T06:28:09.000Z","","","",""
"VELD 4 PB B","2020-09-08T22:00:00.000Z","18.368","172125.225","414886.365","818000976","2382","","818003034","2024-10-16T07:21:06.000Z","","","","","",""
"VELD 4 PB A","2020-09-08T22:00:00.000Z","18.368","172126.017","414890.166","818000976","2382","","818002920","2024-10-16T07:19:51.000Z","","","","","",""
