code,boormeester,datum,hoogtemaaiveld,xcoord,ycoord,onderzoek,type,situ,id,created,modified,geoLatitude,geoLongitude,grondwaterstand,einddiepte
"009","A. Scheper","2024-11-07T23:00:00.000Z","4.627","61449.547","442591.6","805587210","2377","2567","841680853","2024-11-08T13:50:41.000Z","2024-11-08T16:19:32.000Z","","","",""
"008","A. Scheper","2024-11-07T23:00:00.000Z","4.672","61474.094","442637.839","805587210","2377","2567","841680848","2024-11-08T13:50:41.000Z","2024-11-08T16:19:32.000Z","","","",""
"010","A. Scheper","2024-11-07T23:00:00.000Z","4.653","61462.722","442595.414","805587210","2377","2567","841680843","2024-11-08T13:50:41.000Z","2024-11-08T16:19:32.000Z","","","",""
"011","A. Scheper","2024-11-07T23:00:00.000Z","5.329","61491.842","442607.24","805587210","2377","2592","841680832","2024-11-08T13:50:41.000Z","2024-11-08T16:19:32.000Z","","","",""
"012","A. Scheper","2024-11-07T23:00:00.000Z","5.112","61494.196","442630.663","805587210","2377","2567","841680824","2024-11-08T13:50:41.000Z","2024-11-08T16:19:32.000Z","","","",""
"38-3","A. Scheper","2024-11-07T23:00:00.000Z","","91211.5833985843","437242.05106464087","788030849","2377","2567","841640157","2024-11-08T08:44:13.000Z","","51.92000116267142","4.459954441292604","",""
"38-2","A. Scheper","2024-11-07T23:00:00.000Z","","91206.64840141259","437244.0460750984","788030849","2377","2567","841640140","2024-11-08T08:44:13.000Z","","51.92001852645431","4.459882343575843","",""
"38-1","A. Scheper","2024-11-07T23:00:00.000Z","","91202.55339526253","437241.10608385515","788030849","2377","2567","841640123","2024-11-08T08:44:13.000Z","","51.91999163422086","4.459823370028472","",""
"40-1","A. Scheper","2024-11-05T23:00:00.000Z","","91203.18338615025","437236.1185825998","788030849","2377","2567","839552814","2024-11-06T08:12:50.000Z","","51.91994688233235","4.459833451722617","",""
"40-2","A. Scheper","2024-11-05T23:00:00.000Z","","91207.38339280419","437239.32107361505","788030849","2377","2567","839552797","2024-11-06T08:12:49.000Z","","51.9199761457659","4.459893902659907","",""
"40-3","A. Scheper","2024-11-05T23:00:00.000Z","","91211.95088942698","437237.0635639374","788030849","2377","2567","839552780","2024-11-06T08:12:49.000Z","","51.91995638067327","4.459960707556297","",""
"003","","","0","124580.15","443003.11","836383632","2377","","836390428","2024-11-04T10:34:09.000Z","2024-11-04T10:37:45.000Z","","","",""
"002","","","0","124577.77","443028.9","836383632","2377","","836390427","2024-11-04T10:34:09.000Z","2024-11-04T10:37:36.000Z","","","",""
"001","","","0","124564.35","443069.22","836383632","2377","","836390426","2024-11-04T10:34:09.000Z","2024-11-04T10:37:41.000Z","","","",""
"50-1","T. Ottema","2024-10-30T23:00:00.000Z","","91204.58458457093","437212.8754771146","788030849","2377","2567","832676614","2024-10-31T13:13:16.000Z","","51.919738150388405","4.459858128486697","",""
"50-2","T. Ottema","2024-10-30T23:00:00.000Z","","91210.30685823513","437215.568339353","788030849","2377","2567","832676601","2024-10-31T13:13:16.000Z","","51.919763008202224","4.45994079894468","",""
"50-3","T. Ottema","2024-10-30T23:00:00.000Z","","91215.4284167013","437214.78975899064","788030849","2377","2567","832676588","2024-10-31T13:13:16.000Z","","51.91975659819213","4.46001538220627","",""
"52-3","T. Ottema","2024-10-29T23:00:00.000Z","","91216.02365564945","437209.1488276359","788030849","2377","2567","831601530","2024-10-30T12:28:45.000Z","","51.91970596973056","4.460025079730459","",""
"52-2","T. Ottema","2024-10-29T23:00:00.000Z","","91210.7064820065","437210.44178600755","788030849","2377","2567","831601518","2024-10-30T12:28:45.000Z","","51.919716980181136","4.459947558008736","",""
"48-1","T. Ottema","2024-10-29T23:00:00.000Z","","91204.14925358602","437217.3617413968","788030849","2377","2567","831601506","2024-10-30T12:28:45.000Z","","51.91977841984175","4.45985096910364","",""
"48-2","T. Ottema","2024-10-29T23:00:00.000Z","","91209.48309360021","437220.2757491753","788030849","2377","2567","831601494","2024-10-30T12:28:45.000Z","","51.91980522061449","4.459927952954818","",""
"48-3","T. Ottema","2024-10-29T23:00:00.000Z","","91215.35729357638","437218.7679702911","788030849","2377","2567","831601482","2024-10-30T12:28:45.000Z","","51.91979234339751","4.460013610731066","",""
"52-1","T. Ottema","2024-10-29T23:00:00.000Z","","91205.59263053036","437207.8279512484","788030849","2377","2567","831601470","2024-10-30T12:28:45.000Z","","51.919692902395234","4.459873716022912","",""
"Pb tank 42 voor","Veldwerker","2024-10-24T22:00:00.000Z","","91203.23587975258","437232.6535825401","788030849","2432","","826885713","2024-10-25T14:00:05.000Z","","51.91991574737497","4.459834857386271","",""
"Pb tank 42 achter","Veldwerker","2024-10-24T22:00:00.000Z","","91212.26588152288","437232.7585633367","788030849","2432","","826885710","2024-10-25T14:00:05.000Z","","51.91991772648408","4.459966084192176","",""
"Vulzand tanks nr 42","Veldwerker","2024-10-24T22:00:00.000Z","","91199.47998227565","437232.58035985","788030849","2417","","826870796","2024-10-25T12:23:54.000Z","2024-10-31T13:31:57.000Z","51.91992277445597","4.45988813526563","",""
"Drainput 7","Veldwerker","2024-10-24T22:00:00.000Z","","91231.79610781217","437353.29851985583","826839984","2392","","826839991","2024-10-25T07:31:06.000Z","","51.92100329401272","4.460227597038494","",""
"Drainput 5","Veldwerker","2024-10-24T22:00:00.000Z","","91221.50610380711","437352.0910417518","826839984","2392","","826839990","2024-10-25T07:31:06.000Z","","51.920991262243824","4.4600782575896645","",""
"Drainput 6","Veldwerker","2024-10-24T22:00:00.000Z","","91226.96610620365","437352.8785301306","826839984","2392","","826839989","2024-10-25T07:31:06.000Z","","51.92099896567779","4.460157471706168","",""
"Drainput 4","Veldwerker","2024-10-24T22:00:00.000Z","","91218.09350951304","437301.42854983744","826839984","2392","","826839988","2024-10-25T07:31:06.000Z","","51.9205355521931","4.460038051371341","",""
"Drainput 3","Veldwerker","2024-10-24T22:00:00.000Z","","91226.80838085948","437231.0260324448","826839984","2377","","826839987","2024-10-25T07:31:06.000Z","","51.91990382323085","4.460177772942991","",""
"Drainput 2","Veldwerker","2024-10-24T22:00:00.000Z","","91226.75581777628","437196.90103310905","826839984","2392","","826839986","2024-10-25T07:31:06.000Z","","51.919597125732935","4.4601833361610845","",""
"Drainput 1","Veldwerker","2024-10-24T22:00:00.000Z","","91237.88596178908","437273.76100820745","826839984","2392","","826839985","2024-10-25T07:31:06.000Z","","51.92028916505919","4.460330857315639","",""
"44-3","T. Ottema","2024-10-23T22:00:00.000Z","","91213.73537960448","437229.26840935915","788030849","2377","2567","825855453","2024-10-24T08:39:51.000Z","","51.919886527956216","4.459988089821323","",""
"44-2","T. Ottema","2024-10-23T22:00:00.000Z","","91207.97972867492","437229.8279964762","788030849","2377","2567","825855440","2024-10-24T08:39:51.000Z","","51.91989089707046","4.459904330764353","",""
"44-1","T. Ottema","2024-10-23T22:00:00.000Z","","91202.84247230174","437227.75400429603","788030849","2377","2567","825855427","2024-10-24T08:39:51.000Z","","51.9198716682975","4.4598300482076745","",""
"HKGEBOUW02","","","0.323","93434.074","464977.288","824914944","2392","","824919325","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"HKGEBOUW01","","","0.293","93418.463","464989.764","824914944","2392","","824919324","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"BKBETONMUU","","","5.036","93408.555","465008.423","824914944","2392","","824919323","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS041","","","3.187","93408.606","465006.927","824914944","2392","","824919322","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS040","","","3.3","93409.245","465007.591","824914944","2392","","824919321","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS039","","","3.152","93409.839","465007.042","824914944","2392","","824919320","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS038","","","3.233","93410.048","465007.975","824914944","2392","","824919319","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS037","","","3.246","93409.981","465007.95","824914944","2392","","824919318","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
"GPS036","","","3.306","93409.115","465008.136","824914944","2392","","824919317","2024-10-23T12:59:04.000Z","2024-10-23T12:59:04.000Z","","","",""
